imdbId,title,releaseYear,genre,actors,directors
tt0118578,Albela,2001,Romance,Govinda | Aishwarya Rai Bachchan | Jackie Shroff | Namrata Shirodkar,Deepak Sareen
tt0169102,Lagaan: Once Upon a Time in India,2001,Adventure | Drama | Musical,Aamir Khan | Gracy Singh | Rachel Shelley | Paul Blackthorne,Ashutosh Gowariker
tt0187279,Meri Biwi Ka Jawab Nahin,2004,Action | Comedy,Akshay Kumar | Sridevi | Gulshan Grover | Laxmikant Berde,Pankaj Parashar | S.M. Iqbal
tt0222024,Hum Tumhare Hain Sanam,2002,Drama | Romance,Shah Rukh Khan | Madhuri Dixit | Salman Khan | Atul Agnihotri,K.S. Adiyaman
tt0227194,One 2 Ka 4,2001,Action | Comedy | Drama,Shah Rukh Khan | Juhi Chawla | Jackie Shroff | Nirmal Pandey,Shashilal K. Nair
tt0238936,Devdas,2002,Musical | Romance,Shah Rukh Khan | Madhuri Dixit | Aishwarya Rai Bachchan | Jackie Shroff,Sanjay Leela Bhansali
tt0247911,Aap Mujhe Achche Lagne Lage,2002,Action | Drama | Romance,Hrithik Roshan | Ameesha Patel | Kiran Kumar | Mukesh Tiwari,Vikram Bhatt
tt0248126,Kabhi Khushi Kabhie Gham...,2001,Drama | Musical | Romance,Amitabh Bachchan | Jaya Bhaduri | Shah Rukh Khan | Kajol,Karan Johar
tt0248216,Na Tum Jaano Na Hum,2002,Comedy | Drama | Musical,Saif Ali Khan | Hrithik Roshan | Esha Deol | Alok Nath,Arjun Sablok
tt0248617,Yaadein...,2001,Musical | Drama | Romance,Jackie Shroff | Hrithik Roshan | Kareena Kapoor | Amrish Puri,Subhash Ghai
tt0255713,Zubeidaa,2001,Adventure | Biography | Drama,Karisma Kapoor | Rekha | Manoj Bajpayee | Rajit Kapoor,Shyam Benegal
tt0256692,Chori Chori Chupke Chupke,2001,Drama | Musical | Romance,Preity Zinta | Salman Khan | Rani Mukerji | Amrish Puri,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla
tt0265148,Main Prem Ki Diwani Hoon,2003,Musical | Drama | Romance,Hrithik Roshan | Kareena Kapoor | Abhishek Bachchan | Johnny Lever,Sooraj R. Barjatya
